Model,Metric,Mean,95% CI Lower,95% CI Upper,CI Width
SARIMA,MAE,1.614,1.206,2.023,0.817
SARIMA,RMSE,1.821,1.365,2.277,0.911
SARIMA,MASE,1.603,1.193,2.012,0.819
SARIMA,WAPE (%),66.615,40.323,92.907,52.584
