Region,Fold,MAE,RMSE,MASE,WAPE (%)
Barents Sea,1,0.5892149211438674,0.7264627154436913,0.9142626479370516,6.7947099471795225
Barents Sea,2,0.5540522606382963,0.6414423579167724,0.8605411422050383,7.842053187617425
Barents Sea,3,0.5816595574278517,0.7574639473560694,0.9063198749017978,11.437865092393503
Barents Sea,4,1.435535406535299,1.489920937167652,2.23754485613614,39.782368655295635
Barents Sea,5,0.7450241791831005,0.8195347256129712,1.1648263335356712,24.339922965508453
Barents Sea,6,0.16766371101993657,0.24237487302922975,0.2630232181946833,6.5131633173852705
Barents Sea,7,0.9611909024502646,0.9735101547589616,1.5129705387570431,46.18382217338558
Barents Sea,8,0.1573214627694042,0.18836073144290358,0.24843773773933042,9.898967535760587
Barents Sea,9,0.3757009438330143,0.39203380291994977,0.595053410029397,37.70745726333214
Barents Sea,10,0.22128653599375867,0.2805911662655065,0.3516130794147937,28.075430952754253
Barents Sea,11,0.15125809836135648,0.1762810242894588,0.24122052469249441,18.39515433780113
Barents Sea,12,0.697645997734791,0.6992476947181582,1.1162611455447988,152.67685812991735
Barents Sea,13,0.17127318856549714,0.18447014840434667,0.27502603474027615,44.394294599662295
Barents Sea,14,0.1436735020993363,0.17098726024410263,0.23160590761866348,26.440426813243796
Barents Sea,15,0.1684811667538955,0.22669923513845813,0.27254506211245066,26.197702414084773
Kara Sea,1,0.9344139507576982,1.0609693672276903,0.7337395400306933,3.5707975353435257
Kara Sea,2,3.0830303867143445,4.1123529525225555,2.4171542573015286,16.712391648146028
Kara Sea,3,2.5749569967938704,3.1059386952007864,2.0234765084271786,17.265682317210214
Kara Sea,4,4.091419526338783,4.274384442709652,3.213737704283326,45.73740012388009
Kara Sea,5,2.776419112065263,3.1411304685746577,2.186098509396047,42.40925955265954
Kara Sea,6,0.5283297965270534,0.5804342736199583,0.41726266578981075,11.152954549589635
Kara Sea,7,3.4644592512491204,3.603749644593783,2.7447001945459135,103.45463478607866
Kara Sea,8,1.6228480793129958,1.7104703426887995,1.2901818015900228,52.22623166872462
Kara Sea,9,0.49348478406556356,0.6165192207495742,0.3935438483663854,16.864602957847907
Kara Sea,10,0.4903408228026918,0.515022392357525,0.3925107630106446,14.608632082682899
Kara Sea,11,0.623124684073798,0.7448221688980513,0.5006456826094787,19.724753381463007
Kara Sea,12,3.133765847719996,3.134960446189047,2.524803045920003,110.03280933196883
Kara Sea,13,0.3674130828722498,0.5331732796077414,0.2968650000562691,14.403111360601176
Kara Sea,14,0.7277607667443687,0.7852932266877151,0.5903351147778261,26.424494093048228
Kara Sea,15,0.6762950323856926,1.1376304188312054,0.5506963611089246,19.26413651020305
Chukchi Sea,1,3.2980129984174726,3.695620278722119,3.214699009600174,49.89418866378571
Chukchi Sea,2,0.705681837670127,0.849812092603509,0.6896414389847031,17.65118673488374
Chukchi Sea,3,1.6700268143464219,1.9912087027943544,1.6354506212868947,56.414651650789516
Chukchi Sea,4,1.714805310790971,1.7295711665634075,1.6825426069212643,75.71600703653324
Chukchi Sea,5,0.5480952658755364,0.6528330439644067,0.5394184502327187,88.36174254096625
Chukchi Sea,6,0.5213331781339323,0.6430325267773884,0.5148365915735569,130.468422542545
Chukchi Sea,7,1.987371033839948,1.995574861606155,1.9707374477170596,599.2503655774127
